Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
b128,0,45.0,0,Capomulin,Female,9,22
f932,0,45.0,0,Ketapril,Male,15,29
g107,0,45.0,0,Ketapril,Female,2,29
a457,0,45.0,0,Ketapril,Female,11,30
c819,0,45.0,0,Ketapril,Male,21,25
h246,0,45.0,0,Ketapril,Male,13,30
p189,0,45.0,0,Ketapril,Male,8,28
n923,0,45.0,0,Ketapril,Male,19,30
q119,0,45.0,0,Ketapril,Male,17,30
f993,0,45.0,0,Naftisol,Male,21,28
z234,0,45.0,0,Naftisol,Female,19,27
b559,0,45.0,0,Naftisol,Male,20,26
y260,0,45.0,0,Ketapril,Female,7,25
x930,0,45.0,0,Naftisol,Male,13,26
o725,0,45.0,0,Naftisol,Male,4,26
z969,0,45.0,0,Naftisol,Male,9,30
v835,0,45.0,0,Naftisol,Male,7,29
r604,0,45.0,0,Naftisol,Male,7,30
n304,0,45.0,0,Naftisol,Male,9,26
l700,0,45.0,0,Naftisol,Female,18,27
x336,0,45.0,0,Naftisol,Female,4,29
l725,0,45.0,0,Naftisol,Female,8,26
m133,0,45.0,0,Naftisol,Female,2,26
v295,0,45.0,0,Naftisol,Female,2,27
a818,0,45.0,0,Naftisol,Female,12,28
y601,0,45.0,0,Naftisol,Female,23,25
t724,0,45.0,0,Naftisol,Female,2,25
k382,0,45.0,0,Ketapril,Male,22,29
w422,0,45.0,0,Ketapril,Female,18,26
c326,0,45.0,0,Infubinol,Female,18,25
c139,0,45.0,0,Infubinol,Male,11,28
v339,0,45.0,0,Infubinol,Male,20,26
a577,0,45.0,0,Infubinol,Female,6,25
y163,0,45.0,0,Infubinol,Female,17,27
k483,0,45.0,0,Infubinol,Female,20,30
k804,0,45.0,0,Infubinol,Female,23,29
o809,0,45.0,0,Infubinol,Male,3,25
z581,0,45.0,0,Infubinol,Female,24,25
a251,0,45.0,0,Infubinol,Female,21,25
i386,0,45.0,0,Infubinol,Female,23,29
c580,0,45.0,0,Ketapril,Male,22,25
q132,0,45.0,0,Infubinol,Female,1,30
u327,0,45.0,0,Ketapril,Male,17,25
v603,0,45.0,0,Ketapril,Female,22,30
f278,0,45.0,0,Ketapril,Male,12,30
g497,0,45.0,0,Ketapril,Male,19,28
d474,0,45.0,0,Ketapril,Male,18,27
o973,0,45.0,0,Ketapril,Female,11,29
c832,0,45.0,0,Ketapril,Male,18,29
o331,0,45.0,0,Ketapril,Male,24,30
m650,0,45.0,0,Ketapril,Male,15,27
v289,0,45.0,0,Ketapril,Female,3,26
m550,0,45.0,0,Ketapril,Male,18,28
h428,0,45.0,0,Ketapril,Female,1,27
r701,0,45.0,0,Naftisol,Male,21,25
v199,0,45.0,0,Naftisol,Female,17,29
x264,0,45.0,0,Naftisol,Female,21,27
f234,0,45.0,0,Stelasyn,Male,14,28
