,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
0,a203,45,67.97341878,2,Infubinol,Female,20,23
1,a251,45,65.52574285,1,Infubinol,Female,21,25
3,a275,45,62.99935619,3,Ceftamin,Female,20,28
6,a411,45,38.4076183,1,Ramicane,Male,3,22
7,a444,45,43.0475426,0,Ramicane,Female,10,25
10,a520,45,38.81036633,1,Ramicane,Male,13,21
11,a577,30,57.03186187,2,Infubinol,Female,6,25
12,a644,45,32.97852192,1,Ramicane,Female,7,17
13,a685,45,66.08306589,3,Infubinol,Male,8,30
19,b128,45,38.98287774,2,Capomulin,Female,9,22
21,b447,0,45.0,0,Ceftamin,Male,2,30
22,b487,25,56.05774909,1,Ceftamin,Female,6,28
24,b742,45,38.93963263,0,Capomulin,Male,7,21
25,b759,30,55.74282869,1,Ceftamin,Female,12,25
27,c139,45,72.2267309,2,Infubinol,Male,11,28
31,c326,5,36.3213458,0,Infubinol,Female,18,25
33,c458,30,38.34200823,2,Ramicane,Female,23,20
37,c758,45,33.39765251,1,Ramicane,Male,9,17
41,c895,30,60.96971133,2,Infubinol,Female,7,29
45,d251,45,37.31123552,2,Ramicane,Female,8,19
50,e476,45,62.43540402,1,Infubinol,Male,23,26
52,e662,45,40.65900627,2,Ramicane,Male,8,24
56,f345,45,60.91876652,1,Infubinol,Male,23,26
58,f436,15,48.72207785,2,Ceftamin,Female,3,25
61,f966,20,30.48598484,0,Capomulin,Male,16,17
64,g288,45,37.07402422,1,Capomulin,Male,3,19
66,g316,45,40.1592203,2,Capomulin,Female,22,22
70,g791,45,29.12847181,1,Ramicane,Male,11,16
75,h531,5,47.7846818,0,Ceftamin,Male,5,27
76,i177,45,33.56240217,3,Ramicane,Male,10,18
77,i334,45,36.37451039,2,Ramicane,Female,8,20
78,i386,40,67.28962147,4,Infubinol,Female,23,29
80,i557,45,47.68596303,1,Capomulin,Female,1,24
83,i738,45,37.31184577,2,Capomulin,Female,23,20
85,j119,45,38.1251644,1,Capomulin,Female,7,23
87,j246,35,38.75326548,1,Capomulin,Female,21,21
88,j296,45,61.84902336,3,Ceftamin,Female,24,30
91,j913,45,31.56046955,1,Ramicane,Female,4,17
93,j989,45,36.13485243,1,Ramicane,Male,8,19
94,k210,45,68.92318457,3,Ceftamin,Male,15,28
96,k403,45,22.05012627,1,Ramicane,Male,21,16
97,k483,45,66.19691151,3,Infubinol,Female,20,30
101,k804,35,62.11727887,2,Infubinol,Female,23,29
106,l471,45,67.74866174,1,Ceftamin,Female,7,28
107,l490,30,57.91838132,3,Ceftamin,Male,24,26
108,l509,45,41.48300765,3,Capomulin,Male,17,21
109,l558,10,46.78453491,0,Ceftamin,Female,13,30
110,l661,45,59.85195552,3,Ceftamin,Male,18,26
113,l733,45,64.29983003,1,Ceftamin,Female,4,30
115,l897,45,38.84687569,1,Capomulin,Male,17,19
119,m546,45,30.56462509,1,Ramicane,Male,18,16
121,m601,45,28.43096411,1,Capomulin,Male,22,17
123,m756,5,47.01036401,1,Infubinol,Male,19,30
124,m957,45,33.32909778,1,Capomulin,Female,3,19
126,n364,45,31.09533505,1,Ramicane,Male,4,17
